កម្ពុជា (Cambodia)%00,ខេត្តបន្ទាយមានជ័យ (Banteay Meanchey)%01
កម្ពុជា (Cambodia)%00,ខេត្តបន្ទាយមានជ័យ (Banteay Meanchey)%01,មង្គលបូរី (Mongkol Borei)%0102,បន្ទាយនាង (Banteay Neang)%010201,អូរអណ្ដូងលិច (Ou Andoung Lech)%01020116
កម្ពុជា (Cambodia)%00,ខេត្តបន្ទាយមានជ័យ (Banteay Meanchey)%01,មង្គលបូរី (Mongkol Borei)%0102,បន្ទាយនាង (Banteay Neang)%010201,អូរអណ្ដូងកណ្ដាល (Ou Andoung Kandal)%01020117
កម្ពុជា (Cambodia)%00,ខេត្តបន្ទាយមានជ័យ (Banteay Meanchey)%01,មង្គលបូរី (Mongkol Borei)%0102,បន្ទាយនាង (Banteay Neang)%010201,អូរអណ្ដូងកើត (Ou Andoung Kaeut)%01020118
កម្ពុជា (Cambodia)%00,ខេត្តបន្ទាយមានជ័យ (Banteay Meanchey)%01,មង្គលបូរី (Mongkol Borei)%0102,បន្ទាយនាង (Banteay Neang)%010201,គោកក្ដួច (Kouk Kduoch)%01020119
កម្ពុជា (Cambodia)%00,ខេត្តបន្ទាយមានជ័យ (Banteay Meanchey)%01,មង្គលបូរី (Mongkol Borei)%0102,បត់ត្រង់ (Bat Trang)%010202
កម្ពុជា (Cambodia)%00,ខេត្តបន្ទាយមានជ័យ (Banteay Meanchey)%01,មង្គលបូរី (Mongkol Borei)%0102,បត់ត្រង់ (Bat Trang)%010202,ខ្ទុម្ពរាយលិច (Khtum Reay Lech)%01020201
កម្ពុជា (Cambodia)%00,ខេត្តបន្ទាយមានជ័យ (Banteay Meanchey)%01,មង្គលបូរី (Mongkol Borei)%0102,បត់ត្រង់ (Bat Trang)%010202,ខ្ទុម្ពរាយកើត (Khtum Reay Kaeut)%01020202
កម្ពុជា (Cambodia)%00,ខេត្តបន្ទាយមានជ័យ (Banteay Meanchey)%01,មង្គលបូរី (Mongkol Borei)%0102,បត់ត្រង់ (Bat Trang)%010202,អន្លង់ថ្ងាន់កើត (Anlong Thngan Kaeut)%01020203
កម្ពុជា (Cambodia)%00,ខេត្តបន្ទាយមានជ័យ (Banteay Meanchey)%01,មង្គលបូរី (Mongkol Borei)%0102,បត់ត្រង់ (Bat Trang)%010202,អន្លង់ថ្ងាន់លិច (Anlong Thngan Lech)%01020204
កម្ពុជា (Cambodia)%00,ខេត្តបន្ទាយមានជ័យ (Banteay Meanchey)%01,មង្គលបូរី (Mongkol Borei)%0102,បត់ត្រង់ (Bat Trang)%010202,បង់បត់លិច (Bang Bat Lech)%01020205
កម្ពុជា (Cambodia)%00,ខេត្តបន្ទាយមានជ័យ (Banteay Meanchey)%01,មង្គលបូរី (Mongkol Borei)%0102,បត់ត្រង់ (Bat Trang)%010202,បង់បត់កើត (Bang Bat Kaeut)%01020206
កម្ពុជា (Cambodia)%00,ខេត្តបន្ទាយមានជ័យ (Banteay Meanchey)%01,មង្គលបូរី (Mongkol Borei)%0102,បត់ត្រង់ (Bat Trang)%010202,បត់ត្រង់ (Bat Trang)%01020207
កម្ពុជា (Cambodia)%00,ខេត្តបន្ទាយមានជ័យ (Banteay Meanchey)%01,មង្គលបូរី (Mongkol Borei)%0102,បត់ត្រង់ (Bat Trang)%010202,បត់ត្រង់ធំលិច (Bat Trang Thum Lech)%01020208
កម្ពុជា (Cambodia)%00,ខេត្តបន្ទាយមានជ័យ (Banteay Meanchey)%01,មង្គលបូរី (Mongkol Borei)%0102,បត់ត្រង់ (Bat Trang)%010202,បត់ត្រង់ធំកើត (Bat Trang Thum Kaeut)%01020209
កម្ពុជា (Cambodia)%00,ខេត្តបន្ទាយមានជ័យ (Banteay Meanchey)%01,មង្គលបូរី (Mongkol Borei)%0102,បត់ត្រង់ (Bat Trang)%010202,បត់ត្រង់តូច (Bat Trang Touch)%01020210
កម្ពុជា (Cambodia)%00,ខេត្តបន្ទាយមានជ័យ (Banteay Meanchey)%01,មង្គលបូរី (Mongkol Borei)%0102,បត់ត្រង់ (Bat Trang)%010202,ព្រែកជីក (Preaek Chik)%01020211
កម្ពុជា (Cambodia)%00,ខេត្តបន្ទាយមានជ័យ (Banteay Meanchey)%01,មង្គលបូរី (Mongkol Borei)%0102,ចំណោម (Chamnaom)%010203
កម្ពុជា (Cambodia)%00,ខេត្តបន្ទាយមានជ័យ (Banteay Meanchey)%01,មង្គលបូរី (Mongkol Borei)%0102,ចំណោម (Chamnaom)%010203,ប្រឡាយចារ៍ (Pralay Char)%01020301
កម្ពុជា (Cambodia)%00,ខេត្តបន្ទាយមានជ័យ (Banteay Meanchey)%01,មង្គលបូរី (Mongkol Borei)%0102,ចំណោម (Chamnaom)%010203,រង្វានលិច (Rongvean Lech)%01020302
កម្ពុជា (Cambodia)%00,ខេត្តបន្ទាយមានជ័យ (Banteay Meanchey)%01,មង្គលបូរី (Mongkol Borei)%0102,ចំណោម (Chamnaom)%010203,រង្វានកើត (Rongvean Kaeut)%01020303
កម្ពុជា (Cambodia)%00,ខេត្តបន្ទាយមានជ័យ (Banteay Meanchey)%01,មង្គលបូរី (Mongkol Borei)%0102,ចំណោម (Chamnaom)%010203,ចំណោមលិច (Chamnaom Lech)%01020304
កម្ពុជា (Cambodia)%00,ខេត្តបន្ទាយមានជ័យ (Banteay Meanchey)%01,មង្គលបូរី (Mongkol Borei)%0102,ចំណោម (Chamnaom)%010203,ចំណោមកើត (Chamnaom Kaeut)%01020305
កម្ពុជា (Cambodia)%00,ខេត្តបន្ទាយមានជ័យ (Banteay Meanchey)%01,មង្គលបូរី (Mongkol Borei)%0102,ចំណោម (Chamnaom)%010203,រោងគោដើម (Roung Kou Daeum)%01020306
កម្ពុជា (Cambodia)%00,ខេត្តបន្ទាយមានជ័យ (Banteay Meanchey)%01,មង្គលបូរី (Mongkol Borei)%0102,ចំណោម (Chamnaom)%010203,រោងគោកណ្ដាល (Roung Kou Kandal)%01020307
