Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,_version:1,_order:2002
c53d6510-2779-59e5-bd58-88c2180f4150,,ACT-RHD:q_anticoagnulation_monitoring_date_anticoagulation_monitoring,Date (Anticoagulation Monitoring),,,Question,Date,,,
3edc315c-1914-5bc3-a587-ebb7271435a4,,ACT-RHD:q_anticoagulation_date_anticoagulation,Date (Anticoagulation),,,Question,Date,,,
d5421303-4a78-57ca-a274-a4d90ea99b28,,ACT-RHD:q_type_of_anticoagulation,Type of Anticoagulation,,,Question,Coded,71617AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 5e97fe35-58df-4925-bba7-7c49d75268a1; 14146168-c1af-414c-b211-679cf1952d3d; Rivaroxaban; 5622AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
