Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,_version:1,_order:1002
58c4ddcb-4c29-5099-9b50-1ed234567c19,,ACT-RHD:rhd_other,RHD - other,,,Diagnosis,N/A,,,
7cfaaf46-1939-5437-8d40-31095cb29812,,ACT-RHD:rhd_a,RHD A,,,Diagnosis,N/A,,,
2a648c80-594c-5442-bdfc-70e7472ef5b7,,ACT-RHD:rhd_b,RHD B,,,Diagnosis,N/A,,,
8c2f337a-99b3-5f76-8312-1cee4336309c,,ACT-RHD:rhd_c_rhd_d,RHD C/RHD D,,,Diagnosis,N/A,,,
63d83a53-19cd-55ac-8360-0e6dcc486f31,,ACT-RHD:restrictive_cardiomyopathy,Restrictive cardiomyopathy,,,Diagnosis,N/A,,,
4e529463-2036-5327-ad69-7cbd39df86a1,,ACT-RHD:rheumatic_heart_disease_rheumatic_fever,Rheumatic heart Disease/Rheumatic fever,,,Misc,N/A,,,
dfb474c5-1fa7-5c27-85eb-48642d0dcbaa,,ACT-RHD:sickle_cell_disease,Sickle cell disease,,,Diagnosis,N/A,,,
41b1a801-9d9d-5687-9de5-39e89c73c8c7,,ACT-RHD:stroke,Stroke,,,Diagnosis,N/A,,,
ce31967e-bf40-5034-9a04-c6b9a9771bb6,,ACT-RHD:substance_use_disorder,Substance-use disorder,,,Diagnosis,N/A,,,
033d2bde-3bb1-560e-b363-4fa3f4429ffa,,ACT-RHD:total_anomalous_pulmonary_vein_return,Total anomalous pulmonary vein return,,,Diagnosis,N/A,,,
0ed5febb-c749-5592-9285-37d45d4435d7,,ACT-RHD:transposition_of_the_great_arteries,Transposition of the great arteries,,,Diagnosis,N/A,,,
69a18712-03ce-5ac0-af10-b08602085043,,ACT-RHD:trauma,Trauma,,,Diagnosis,N/A,,,
26efc011-a60d-528a-96f3-c96e75679073,,ACT-RHD:tricuspid_atresia_stenosis,Tricuspid Atresia/Stenosis,,,Diagnosis,N/A,,,
267cf1b5-c9f4-520f-b69c-7ea473db8fef,,ACT-RHD:within_30_days_of_cardiac_catheterization,Within 30-days of cardiac catheterization,,,Diagnosis,N/A,,,
bea38eeb-60e2-5409-b89e-3d9ac08c660b,,ACT-RHD:within_30_days_of_cardiac_surgery,Within 30-days of cardiac surgery,,,Diagnosis,N/A,,,
