Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,_version:1,_order:2004
9c43bbda-3fe2-59b8-8566-1989f1350729,,ACT-RHD:q_assent,Assent,,,Question,Date,,,
a9a5f14a-984c-5351-a98b-94e4ab4a57e4,,ACT-RHD:q_consent,Consent,,,Question,Date,,,
26bfdcb1-ea0a-58ac-ace9-6e7abb00383b,,ACT-RHD:q_name_of_person_consenting,Name of person consenting,,,Question,Text,,,
f583bdb7-d010-5f68-a772-035e2a965684,,ACT-RHD:q_reason_for_completiong,Reason for completiong,,,Question,Coded,Final visit; Withdrawn from study; 7dc37c9e-1725-11ed-861d-0242ac120002; 159AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
df495209-b144-521b-b35a-8314872f538d,,ACT-RHD:q_relation_of_person_consenting,Relation of person consenting,,,Question,Coded,Mother; Father; Grandmother; Grandfather; Aunt; Uncle; Other legal guardian; Self,,
13ff5409-eda2-5fb9-9dde-95cc4afb75d3,,ACT-RHD:q_study_completion,Study Completion,,,Question,Date,,,
1ba73207-ba91-5279-a078-f2be8d4b03fd,,ACT-RHD:q_study_name,Study Name,,,Question,Coded,National RHD registry (Mak SOMREC 2013-072); ADD-RHD ACT decentralization (Mak-SOMREC-2021-61),,
