Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,_version:1,_order:2006
c437c2be-0520-5920-9bd7-26104bc229a4,,ACT-RHD:q_date_admitted,Date Admitted,,,Question,Date,,,
f17fbfad-6208-53ee-a97a-17583d2f6259,,ACT-RHD:q_date_of_discharge,Date of Discharge,,,Question,Date,,,
29c468c3-9ee7-580f-8bfc-87123ef1d37e,,ACT-RHD:q_hospital_admission_details_hospital_admission,Details (Hospital Admission),,,Question,Text,,,
01e6dd39-b8ba-5b0a-bcd7-6b8d5973c1bc,,ACT-RHD:q_facility,Facility,,,Question,Text,,,
e60fcf3b-1057-5d1f-a8be-679411b48ba9,,ACT-RHD:q_reason_for_admission,Reason for Admission,,,Question,Coded,RHD - intervention; RHD - heart failure; RHD - stroke; RHD - arrhythmia; RHD - endocarditis; 127447AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 116128AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
15951587-62e3-536f-a471-958b4f210b6c,,ACT-RHD:q_to_where,To Where?,,,Question,Text,,,
