Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,_version:1,_order:1005
9e6907fe-1c65-518f-9e1e-1e0189932e95,,ACT-RHD:lip_swelling,Lip swelling,,,Misc,N/A,,,
e0f8f506-2ff9-5442-b46d-b5c472351326,,ACT-RHD:local_redness,Local redness,,,Misc,N/A,,,
7113c0d4-4fdd-5a2d-8aa2-31b4656950ee,,ACT-RHD:mildly_decreased,Mildly decreased,,,Misc,N/A,,,
efc4d7fc-eae5-5f81-be72-750c616c82b0,,ACT-RHD:mitral_valve_replacement_repair,Mitral valve Replacement/Repair,,,Misc,N/A,,,
3b1bec9d-85f2-50aa-ad74-5b7bf920e8de,,ACT-RHD:mitral_valve_repair,Mitral valve repair,,,Misc,N/A,,,
a76e4d83-18c0-5ed8-b039-03d137ed70ea,,ACT-RHD:mitral_valve_replacement,Mitral valve replacement,,,Misc,N/A,,,
b47abe39-3817-5e34-b123-8b8985f69f6b,,ACT-RHD:moderate_risk,Moderate risk,,,Misc,N/A,,,
f2f96d8b-47bb-56a0-9815-b0f6d1003589,,ACT-RHD:moderately_decreased,Moderately decreased,,,Misc,N/A,,,
3b008b8a-38b8-5e6b-9428-40163e701644,,ACT-RHD:mother,Mother,,,Misc,N/A,,,
4b4061c7-c9c6-509f-a689-1dd2ad165ef1,,ACT-RHD:national_rhd_registry_mak_somrec_2013_072,National RHD registry (Mak SOMREC 2013-072),,,Misc,N/A,,,
8ce86740-d536-5bf8-b8e8-c8ed5994018a,,ACT-RHD:no_increase_or_increase_by_1_degree,No increase or increase by < 1 degree,,,Misc,N/A,,,
84ab709b-370e-5922-810e-08a2d9a6fac1,,ACT-RHD:once_a_day,Once a day,,,Misc,N/A,,,
312791b9-ea05-5b72-bbf1-78e45eeefe49,,ACT-RHD:or_severe_mitral_regurgitation,Or severe mitral regurgitation,,,Misc,N/A,,,
45efbbdc-bf9b-58dc-a49d-44641bae590c,,ACT-RHD:oral_penicillin,Oral penicillin,,,Misc,N/A,,,
4ff41d80-a6f6-5e65-b20a-66b31ce1baa6,,ACT-RHD:other_with_field_to_complete,Other (with field to complete),,,Misc,N/A,,,
50bd5eb9-aa34-52f3-bdb5-605d63df9832,,ACT-RHD:other_catheter_based_intervention,Other catheter-based intervention,,,Misc,N/A,,,
0c06494e-22e8-55c7-b06f-aff1a08939a4,,ACT-RHD:other_legal_guardian,Other legal guardian,,,Misc,N/A,,,
d1a78b6e-b7a3-5ccb-892e-0e86c15b9b84,,ACT-RHD:outreach_visit,Outreach visit,,,Misc,N/A,,,
6dde2e17-58cb-5829-9b96-ef3d016b1b61,,ACT-RHD:patient_not_located,Patient not located,,,Misc,N/A,,,
e67c5bd8-5a94-5c0d-b269-ba975671a46c,,ACT-RHD:patient_reported_reaction,Patient reported reaction,,,Misc,N/A,,,
d4ad08f6-c6a7-5fc1-b037-57e0aba4be4f,,ACT-RHD:phone_call,Phone call,,,Misc,N/A,,,
2d280190-0d1b-5eae-9081-0c5d805c0b6d,,ACT-RHD:phone_off,Phone off,,,Misc,N/A,,,
5458f2f7-9eba-5ba4-b2a8-6c736d574ca9,,ACT-RHD:rhd_c,RHD C,,,Misc,N/A,,,
19fb7b40-528e-5b1c-a610-f2e624c98038,,ACT-RHD:rhd_d,RHD D,,,Misc,N/A,,,
aa0fc44c-3214-5916-86db-c13d4ea4654e,,ACT-RHD:rhd_clinic,RHD clinic,,,Misc,N/A,,,
235fae67-41f9-5b8e-a373-a52007038cb7,,ACT-RHD:routine_surveillance,Routine/Surveillance,,,Misc,N/A,,,
27f33ebe-77fb-575f-b737-00aa47dae6d8,,ACT-RHD:screen_pending_confirmatory_echo,Screen + pending confirmatory echo,,,Misc,N/A,,,
edebe52c-de16-5ba7-ad1c-9f0d6a2bb323,,ACT-RHD:self,Self,,,Misc,N/A,,,
e1529624-8c3c-5b2e-8a7f-7e166fbb23e5,,ACT-RHD:sending,Sending,,,Misc,N/A,,,
719957d3-80ec-5e1c-9d94-2a02a8335054,,ACT-RHD:severe_risk,Severe risk,,,Misc,N/A,,,
91d28548-97ec-53d7-a3fd-d2a6b94bb09b,,ACT-RHD:severely_decreased,Severely decreased,,,Misc,N/A,,,
a5d49b91-273a-5506-8575-674165374abc,,ACT-RHD:stomach_upset,Stomach upset,,,Misc,N/A,,,
eba2cdb3-a575-5893-90de-fc0e0f3b7580,,ACT-RHD:submitted_request_to_national_medical_store,Submitted request to national medical store,,,Misc,N/A,,,
e126aa33-b37e-5ad5-974d-f2f422b6489c,,ACT-RHD:sufficient_1_5ml_or_50_of_baseline,Sufficient (>1.5mL or 50% of baseline),,,Misc,N/A,,,
b1c8df27-fa6c-59ca-ba7d-e6c242e7b97e,,ACT-RHD:supplies_expected,Supplies expected,,,Misc,N/A,,,
93549872-2856-542e-becc-809e772d98ba,,ACT-RHD:tertiary_center,Tertiary center,,,Misc,N/A,,,
357e27b3-4e71-5c31-9984-4c59000be2ff,,ACT-RHD:text_message,Text message,,,Misc,N/A,,,
bae1cc50-a94f-5b56-86be-a21b2072d0a8,,ACT-RHD:thrice_a_day,Thrice a day,,,Misc,N/A,,,
8a4f573d-ebc2-5073-b396-39ebe01fe56d,,ACT-RHD:transfer_to_another_facility,Transfer to another facility,,,Misc,N/A,,,
3b242d01-dada-5588-9f45-e87da22e7ec8,,ACT-RHD:trouble_breathing,Trouble breathing,,,Misc,N/A,,,
aa611030-275a-51c0-99d9-d610e88b50a7,,ACT-RHD:twice_a_day,Twice a day,,,Misc,N/A,,,
74a3bab3-9461-5bdb-a587-850d5fd11e8a,,ACT-RHD:uncle,Uncle,,,Misc,N/A,,,
