Uuid,Void/Retire,Name,Description,Service,Status Concept Set,Priority Concept Set,Location
d692a223-e140-11ee-bad2-0242ac120002,FALSE,Cola de Triaje,Cola de Triaje,ea771a12-c8e4-49fd-a09c-6d6d8796aaa4,a10612bc-373d-44cf-8a1a-277e65f7fcf9,933e6d55-d64a-498d-b1b2-b3d5242e4199,35d2234e-129a-4c40-abb2-1ae0b72c1602
13b656d3-e141-11ee-bad2-0242ac120002,FALSE,Cola de Consulta,Cola de Consulta,0f819fa7-864f-4f60-a50a-03d0b82daa73,,,35d2234e-129a-4c40-abb2-1ae0b72c1602
