Concept,Member,Member Type,Sort Weight
b1a6d6b0-0001-4bda-9f6a-000000000000,b1a6d6b0-0001-4bda-9f6a-111111111111,concept-set,1
b1a6d6b0-0001-4bda-9f6a-000000000000,b1a6d6b0-0002-4bda-9f6a-222222222222,concept-set,1
b1a6d6b0-0001-4bda-9f6a-000000000000,b1a6d6b0-0003-4bda-9f6a-333333333333,concept-set,1
b1a6d6b0-0001-4bda-9f6a-000000000000,b1a6d6b0-0004-4bda-9f6a-444444444444,concept-set,1
b1a6d6b0-0001-4bda-9f6a-000000000000,b1a6d6b0-0005-4bda-9f6a-555555555555,concept-set,1
b1a6d6b0-0001-4bda-9f6a-000000000000,b1a6d6b0-0006-4bda-9f6a-666666666666,concept-set,1
b1a6d6b0-0001-4bda-9f6a-000000000000,b1a6d6b0-0007-4bda-9f6a-777777777777,concept-set,1
