Void/Retire,Entity UUID,Entity class,Basis UUID,Basis class,_order:1000
,2749cd1b-251a-4d8b-bc35-0165f2b1af3e,org.openmrs.Role,35d2234e-129a-4c40-abb2-1ae0b2011400,org.openmrs.Location,1000
,2749cd1b-251a-4d8b-bc35-0165f2b1af3e,org.openmrs.Role,35d2234e-129a-4c40-abb2-1ae0b2040000,org.openmrs.Location,1000
,2749cd1b-251a-4d8b-bc35-0165f2b1af3e,org.openmrs.Role,35d2234e-129a-4c40-abb2-1ae0b2070000,org.openmrs.Location,1000
,2749cd1b-251a-4d8b-bc35-0165f2b1af3e,org.openmrs.Role,35d2234e-129a-4c40-abb2-1ae0b2220000,org.openmrs.Location,1000
,2749cd1b-251a-4d8b-bc35-0165f2b1af3e,org.openmrs.Role,35d2234e-129a-4c40-abb2-1ae0b2270304,org.openmrs.Location,1000
,2749cd1b-251a-4d8b-bc35-0165f2b1af3e,org.openmrs.Role,35d2234e-129a-4c40-abb2-1ae0b72c1604,org.openmrs.Location,1000
,2749cd1b-251a-4d8b-bc35-0165f2b1af3e,org.openmrs.Role,35d2234e-129a-4c40-abb2-1ae0b72c1605,org.openmrs.Location,1000
,2749cd1b-251a-4d8b-bc35-0165f2b1af3e,org.openmrs.Role,35d2234e-129a-4c40-abb2-1ae0b72c1606,org.openmrs.Location,1000
,2d09a0e2-240a-4dd7-9c3e-9e2cd2cb2d1f,org.openmrs.Role,35d2234e-129a-4c40-abb2-1ae0b2040000,org.openmrs.Location,1000
,2d09a0e2-240a-4dd7-9c3e-9e2cd2cb2d1f,org.openmrs.Role,35d2234e-129a-4c40-abb2-1ae0b2070000,org.openmrs.Location,1000
,2d09a0e2-240a-4dd7-9c3e-9e2cd2cb2d1f,org.openmrs.Role,35d2234e-129a-4c40-abb2-1ae0b2110000,org.openmrs.Location,1000
,2d09a0e2-240a-4dd7-9c3e-9e2cd2cb2d1f,org.openmrs.Role,35d2234e-129a-4c40-abb2-1ae0b2200000,org.openmrs.Location,1000
,2d09a0e2-240a-4dd7-9c3e-9e2cd2cb2d1f,org.openmrs.Role,35d2234e-129a-4c40-abb2-1ae0b2220000,org.openmrs.Location,1000
,2d09a0e2-240a-4dd7-9c3e-9e2cd2cb2d1f,org.openmrs.Role,35d2234e-129a-4c40-abb2-1ae0b2221900,org.openmrs.Location,1000
,2d09a0e2-240a-4dd7-9c3e-9e2cd2cb2d1f,org.openmrs.Role,35d2234e-129a-4c40-abb2-1ae0b2270304,org.openmrs.Location,1000
