Uuid,Void/Retire,Frequency per day,Concept frequency,_version:1,_order:7000
136ebdb7-e989-47cf-8ec2-4e8b2ffe0ab3,,1,Una vez diario,,
af7c1fe6-d669-414e-b066-e9733f0de7a8,,12,Cada dos horas,,
08c71152-c552-42e7-b094-f510ff44e9cb,,2,Dos veces por día,,
136ebdb7-e989-47cf-8ec6-4e8b2ffe0ab5,,3,Tres veces al día,,
136ebdb7-e989-47ct-8ec2-4e8b6ffe0ab1,,4,Cada seis horas,,
136ebdb1-e984-47cf-8ec2-4e6b2ffe0ab8,,6,Cada cuatro horas,,
336ebdb5-e985-47cf-8mc2-4e8b2ffe0a83,,8,Cada tres horas,,
736ebdb7-9989-47cf-8ec2-4e8b2ffe0ab2,,2,Cada doce horas,,
636ebdb4-e988-37cf-8ec2-4e9b2ffe8ab3,,24,Cada hora,,
