uuid,name,description,void/retire
c2503561-c00d-5460-8157-43d594472b4a,RHD Consultation Visit,Cardiac consultation visit; vitals NYHA medications and prophylaxis,false
04cf03db-3b8e-5020-84b0-50b06338767a,RHD BPG Delivery,Benzathine penicillin G injection and adverse reaction surveillance,false
730f5ec2-7102-55d0-8602-2d792844f245,RHD Echocardiogram,Echocardiogram findings and valve assessment,false
64c3f35f-a3ec-59d6-8178-0ca9f068cda8,RHD Electrocardiogram,Electrocardiogram result,false
181e0106-35d3-537a-a25e-18d3ebf61883,RHD Hospital Admission,Hospital admission and discharge,false
ce6b111e-9beb-5a91-91ad-ec5043976fd5,RHD Pregnancy,Pregnancy maternal and fetal outcomes,false
55271793-ef37-58da-9d86-1d9092a5a809,RHD Oral Adherence,Oral prophylaxis adherence assessment,false
c9b87090-8768-50be-987e-8ca0a8983429,RHD Interventions and Outcomes,Surgical or catheter intervention and follow-up outcomes,false
b4bb88a3-9a04-5142-85bd-bb63c270f632,RHD INR Monitoring,Anticoagulation INR monitoring for patients on Warfarin,false
